Start,End,Name,CountsAsWork,CountsAsSleep,InfernalDay
2026-01-16 22:40:57,2026-01-16 22:40:57,idle,False,False,2026-01-16
2026-01-16 23:53:19,2026-01-17 08:16:19,SLEEP_OFFLINE,False,True,2026-01-16
2026-01-16 22:40:57,2026-01-17 08:44:15,work,True,False,2026-01-16
2026-01-16 22:40:57,2026-01-17 08:44:22,work,True,False,2026-01-16
2026-01-17 08:44:22,2026-01-17 09:13:58,douche,False,False,2026-01-17
2026-01-17 09:13:58,2026-01-17 09:19:06,work,True,False,2026-01-17
2026-01-17 09:19:06,2026-01-17 09:20:00,clope,False,False,2026-01-17
2026-01-17 09:18:29,2026-01-17 09:24:13,sleep,False,True,2026-01-17
2026-01-16 22:40:57,2026-01-17 09:29:15,work,True,False,2026-01-16
2026-01-17 09:20:00,2026-01-17 09:34:07,clope,False,False,2026-01-17
2026-01-17 09:34:07,2026-01-17 09:38:02,manger,False,False,2026-01-17
2026-01-17 09:38:02,2026-01-17 09:38:13,manger,False,False,2026-01-17
2026-01-17 09:38:13,2026-01-17 09:38:14,manger,False,False,2026-01-17
2026-01-17 09:38:14,2026-01-17 09:38:14,manger,False,False,2026-01-17
2026-01-17 09:38:14,2026-01-17 09:52:31,manger,False,False,2026-01-17
2026-01-17 09:29:15,2026-01-17 09:55:27,work,True,False,2026-01-17
2026-01-17 09:55:27,2026-01-17 09:55:42,work,True,False,2026-01-17
2026-01-17 09:55:42,2026-01-17 09:55:43,work,True,False,2026-01-17
2026-01-17 09:55:43,2026-01-17 09:55:43,work,True,False,2026-01-17
2026-01-17 09:55:43,2026-01-17 09:55:43,work,True,False,2026-01-17
2026-01-17 09:55:43,2026-01-17 09:55:43,work,True,False,2026-01-17
2026-01-17 09:29:15,2026-01-17 09:55:44,work,True,False,2026-01-17
2026-01-17 09:55:44,2026-01-17 09:55:44,work,True,False,2026-01-17
2026-01-17 09:55:44,2026-01-17 09:55:44,work,True,False,2026-01-17
2026-01-17 09:55:43,2026-01-17 09:57:00,work,True,False,2026-01-17
2026-01-17 09:55:43,2026-01-17 10:00:55,work,True,False,2026-01-17
2026-01-17 10:00:55,2026-01-17 10:04:03,work,True,False,2026-01-17
2026-01-17 10:00:55,2026-01-17 10:07:38,work,True,False,2026-01-17
2026-01-17 10:07:38,2026-01-17 10:09:45,work,True,False,2026-01-17
